File,Video URL,Player,Date,Team Name,Result,Floor,Seed,Version,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
Secret_Run.rsrec,,Filthy,2022-01-30,Team Guildmaster,Cleared,29,EDB7F4E5827D6BD3,v0.5.5,3726,4320,,8046,5894,,"Vlademir/Gliscor, Gohan/Monferno","Leppa Berry x4, Reviver Seed x3, Pure Seed",,
2022-01-04_16-59-04.rsrec,https://youtu.be/hEy_-n3HHgs,Shitpost Sunkern,2022-01-05,Team Sunshine,Escaped,25,15582131C5A327F8,v0.5.4,7569,2495,,10064,6200,,"Sprout/Torterra, Sriracha/Charizard","Escape Orb, Oran Berry x4, Reviver Seed x3",,
