File,Video URL,Player,Player Ruby,Date,Team Name,Result,Segment,Floor,Depth,Seed,Version,Mod List,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
WISH_RUN.rsrec,,Trio-,,2024-01-13,Stars,Cleared,,27,27,2CADD662CA850538,v0.7.23,Trio's Dungeon Pack v0.1,37889,8880,0,46769,10196,20:26:49,"Staraptor/Staraptor|Shiny, Aggron/Aggron",,,
2024-01-08_16-50-32.rsrec,https://www.youtube.com/playlist?list=PLXlJTVdeyhO8eX31eSZ79q2AzWuiICXcf,Audino,,2024-01-10,Team Wishful,Cleared,,27,27,2679F6B5F93D7CB1,v0.7.23,Trio's Dungeon Pack v0.1,14524,6586,0,21110,9194,19:29:06,"Bulby &#47;s/Venusaur, Audino/Audino",,,
2024-01-13_23-51-15.rsrec,,Shitpost Sunkern,,2024-01-13,Make a Wish,Defeated,,12,12,C98258786D7BB4A9,v0.7.23,Trio's Dungeon Pack v0.1,9514,1000,0,10514,3402,1:12:24,"Cake/Charizard, Dandelion/Leafeon",,,
