File,Video URL,Player,Date,Team Name,Result,Segment,Floor,Depth,Seed,Version,Mod List,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
SomeGT_Run.rsrec,,Xindage,2022-12-03,Team Gardeners,Cleared,,30,30,FAF44CCD701607AA,v0.6.6,,46021,10200,12087,44134,11126,,"Clefairy/Clefairy, Vaporeon/Vaporeon, Toxicroak/Toxicroak|Female, Ditto/Ditto","X-Ray Specs, Reviver Seed, Escape Orb, Elixir",,
2022-12-23_14-16-02.rsrec,,Trio-,2022-12-23,Spooks,Cleared,,30,30,47E43AC10BD1F2E2,v0.6.7,,27489,11000,0,38489,9374,,"Lucario/Lucario, Hypno/Hypno|Female","Cover Band, Escape Orb",,
2022-11-04_12-29-18.rsrec,,Xindage,2022-11-06,Team Gardeners,Cleared,,30,30,BA7A351FDC042787,v0.6.5,,31329,2912,0,34241,7771,,"Golem/Golem, Scizor/Scizor|Shiny, Tyranitar/Tyranitar, Gloria/Gliscor","X-Ray Specs, Cover Band, Weather Rock, Escape Orb",,
2022-11-22_15-05-11.rsrec,,Trio-,2022-11-22,Charged,Cleared,,30,30,9E39195C926B41E0,v0.6.5,,16677,13036,959,28754,8578,,"Flygon/Flygon, Meganium/Meganium, Vaporeon/Vaporeon, Honchkrow/Honchkrow","Escape Orb, Leppa Berry x2, Reviver Seed",,
2022-11-10_19-25-55.rsrec,,Rime,2022-11-10,Team Guildmaster,Cleared,,30,30,724B3DC877EA682C,v0.6.5,,13264,9885,0,23149,4469,,"PJunko/Tyranitar, EMomoyo/Gliscor, Dugtrio/Dugtrio, Golem/Golem",Escape Orb,,
2022-02-05_15-42-48.rsrec,https://www.youtube.com/playlist?list=PL8BQLHY7KKJ7zw9PMz_anG3Ilv1t8UmdA,Xindage,2022-02-06,Team Leaflare,Cleared,,30,30,0D6CDF4101877FB8,v0.5.6,,6612,15460,0,22072,5354,,"Gloria/Gliscor, Rayzer/Gliscor, Henry/Gliscor, Tyranitar/Tyranitar","Elixir, Royal Gummi x3",,
stallv3.rsrec,,Xindage,2022-02-28,Team Guildmaster,Cleared,,30,30,1B48D72BF063FB08,v0.5.8,,8267,5574,0,13841,6343,,"Mamoswine/Mamoswine|Female, Glaceon/Glaceon, Froslass/Froslass, Vulpix/Alolan Vulpix","Weather Rock, TM Hail, Elixir, Escape Orb",,
2023-03-05_13-11-23.rsrec,,Xindage,2023-03-07,Team Gardeners,Escaped,,22,22,D96DD30C8B3D8352,v0.7.0,,33559,11870,0,45429,6695,4:37:56,"Vaporeon/Vaporeon, Vaporeon/Vaporeon, Vaporeon/Vaporeon|Shiny, Vaporeon/Vaporeon",Escape Orb,,
