File,Video URL,Player,Player Ruby,Date,Team Name,Result,Segment,Floor,Depth,Seed,Version,Mod List,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
Press_F.rsrec,,Xindage,,2024-01-15,Team Gardeners,Defeated,,24,24,188F3FA9C59BCA63,v0.7.23,Trio's Dungeon Pack v0.1,18202,7953,0,26155,6505,2:33:03,"Tyna/Tyranitar, Beth/Golem","Weather Rock, Cover Band",,
2024-01-08_21-51-32.rsrec,,Palika,,2024-01-08,Valiant,Defeated,,13,13,A05E17976F9ED51D,v0.7.23,Trio's Dungeon Pack v0.1,5661,4274,0,9935,2403,0:53:04,"Reinier/Girafarig, Coco/Granbull",(none),,
