File,Video URL,Player,Player Ruby,Date,Team Name,Result,Segment,Floor,Depth,Seed,Version,Mod List,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
2023-02-09_20-29-47.rsrec,,Xindage,,2023-02-09,Team Gardeners,Cleared,,17,17,21BAE7782D1B87B0,v0.6.9,,6067,14260,0,20327,5618,1:25:44,"Ditto/Ditto, Vaporeon/Vaporeon, Lidelle/Scizor|Shiny","Cover Band, X-Ray Specs, Huge Apple x2, Leppa Berry, Green Gummi, Wonder Gummi, Elixir x2, Shell Bell, Escape Orb, Recall Box, TM Aerial Ace, TM Swords Dance, Ambush Rock",,
2022-11-28_15-54-48.rsrec,,Trio-,,2022-11-28,Spooks,Cleared,,17,17,C9DB1D9473781C5D,v0.6.6,,3016,9150,100,12066,3337,,"Honchkrow/Honchkrow, Vulpix/Vulpix, Flygone/Flygon","Apple x3, Leppa Berry x3, Lum Berry x3, Oran Berry x2, Reviver Seed, Recall Box, Sitrus Berry, Escape Orb",,
2022-11-28_11-43-45.rsrec,,Xindage,,2022-11-28,Team Gardeners,Cleared,,17,17,8208B75B2AECAAA7,v0.6.6,,1975,8000,0,9975,2880,,"Beth/Golem, Tyna/Tyranitar, Drapion/Drapion|Shiny","Cover Band, Weather Rock, X-Ray Specs, Huge Apple, Banana x2, Leppa Berry, Reviver Seed, Elixir x2, Escape Orb, Brown Apricorn",,
