File,Video URL,Player,Player Ruby,Date,Team Name,Result,Segment,Floor,Depth,Seed,Version,Mod List,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
Vaporeon.rsrec,,RoyalGuard,,2023-08-25,Debt Collectors,Cleared,Ascent,1,24,6D8A8964233272D5,v0.7.16,,3096,14470,0,17566,4547,1:16:21,"Lord Vapor III/Vaporeon|Shiny, Carvanha/Carvanha, Tentacruel/Tentacruel, Corphish/Corphish",,,
SoloVaporeon.rsrec,,RoyalGuard,,2023-08-29,Solo Challenge,Cleared,Ascent,1,24,D14C309BB86AA2D,v0.7.16,,3036,11700,0,14736,4324,1:20:38,Lord Vapor III/Vaporeon|Shiny,,,
speedrun.rsrec,,Trio-,,2023-08-08,Sen,Escaped,Descent,1,1,29765DCE3817D3BD,v0.7.15,,0,0,0,0,6,0:00:04,Sawata/Lucario,,you're very funny,
