File,Video URL,Player,Player Ruby,Date,Team Name,Result,Segment,Floor,Depth,Seed,Version,Mod List,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
Vaporeon2.rsrec,,RoyalGuard,,2023-08-26,Debt Collectors,Cleared,Ascent,1,24,520A6D47F25966C0,v0.7.16,,3030,16250,,19280,3639,1:41:33,"Lord Vapor III/Vaporeon|Shiny, Lanturn/Lanturn, Tentacruel/Tentacruel",,,
oh_no.rsrec,,Trio-,,2023-08-09,Sen,Cleared,Ascent,1,24,8B355BE3A14446A7,v0.7.15,,3006,15400,,18406,5289,0:56:01,"Sawata/Lucario, Dewgong/Dewgong, Hariyama/Hariyama, Tentacruel/Tentacruel",,,
2023-09-21_14-20-22.rsrec,,域外創音,ikigaisouon,2023-09-21,Escape Orb,Cleared,Ascent,1,24,588D5F8C2DE99A21,v0.7.17,,2363,9260,,11623,2090,0:31:03,Epacse Bro/Skarmory,,,
Actual_Faffygiraffy.rsrec,,The kitchen sunk,,2023-08-09,Brogue,Cleared,Ascent,1,24,81B5EF0814D0E28D,v0.7.15,,3052,5798,,8850,3972,0:45:52,"Faffygiraffy/Girafarig, Honedge/Honedge",,,true
2023-08-26_11-04-32.rsrec,,NanaelJustice,,2023-08-26,Cure Justice,Cleared,Ascent,1,24,37ADD7047E07D339,v0.7.15.1,,1747,4354,,6101,2908,1:02:51,"Breloom/Breloom, Seel/Seel, Qwilfish/Hisuian Qwilfish, Chinchou/Chinchou",,,
PMDO-CC*_Xindage_01.rsrec,,Xindage,,2023-08-23,Furious Fists,Cleared,Ascent,1,24,6711148AC1818685,v0.7.15.1,,1250,3735,,4985,850,0:10:35,Yanmega/Yanmega|Shiny,,,
